Codigo;Programa;Qtde de Docentes
341;PRPPG - PÓS GRADUAÇÃO EM ENSINO DE CIÊNCIAS;20
346;PRPPG - PÓS GRADUAÇÃO EM ADMINISTRAÇÃO;14
333;PRPPG - PÓS GRADUAÇÃO EM ENGENHARIA DE ENERGIA;24
344;PRPPG - PÓS GRADUAÇÃO EM FÍSICA;21
337;PRPPG - PÓS GRADUAÇÃO EM FÍSICA E MATEMÁTICA APLICADA;25
336;PRPPG - PÓS GRADUAÇÃO EM CIÊNCIA E TECNOLOGIA DA COMPUTAÇÃO;22
389;PRPPG - PÓS GRADUAÇÃO EM ENGENHARIA HÍDRICA;17
347;PRPPG - PÓS GRADUAÇÃO EM MULTICÊNTRICO EM QUÍMICA DE MINAS GERAIS;15
343;PRPPG - PÓS GRADUAÇÃO EM DESENVOLVIMENTO, TECNOLOGIAS E SOCIEDADE;20
331;PRPPG - PÓS GRADUAÇÃO EM ENGENHARIA ELÉTRICA;47
335;PRPPG - PÓS GRADUAÇÃO EM MEIO AMBIENTE E RECURSOS HÍDRICOS;29
390;PRPPG - PÓS GRADUAÇÃO PROFISSIONAL EM ENGENHARIA DE PRODUÇÃO;18
334;PRPPG - PÓS GRADUAÇÃO EM ENGENHARIA DE PRODUÇÃO;22
332;PRPPG - PÓS GRADUAÇÃO EM ENGENHARIA MECÂNICA;37
349;PRPPG - PÓS GRADUAÇÃO EM EDUCAÇÃO EM CIÊNCIAS;18
338;PRPPG - PÓS GRADUAÇÃO EM MATERIAIS PARA ENGENHARIA;35
345;PRPPG - PÓS GRADUAÇÃO EM MATEMÁTICA;16
342;PRPPG - PÓS GRADUAÇÃO EM ENGENHARIA DE MATERIAIS;25
