modalidade;campus_uberlandia;campus_uberaba;campus_ituiutaba;campus_patos_de_minas;campus_campina_verde;campus_uberaba_parque_tecnologico;campus_paracatu;campus_uberlandia_centro;campus_patrocinio
PIBIC/IFTM;10;14;10;0;0;3;5;6;2
PIBIC/FAPEMIG;10;20;2;0;0;2;2;2;2
PIBITI/IFTM;2;8;4;0;0;3;0;0;0
PIBIC/CNPq;3;5;0;0;0;0;0;2;0
PIBITI/CNPq;3;8;0;0;0;0;0;0;0
PIBIC Af/CNPq;1;1;0;0;0;0;0;0;0
BICJR/FAPEMIG;3;1;4;0;0;1;4;1;1
BICJR/IFTM;6;5;0;10;0;0;0;6;5
PIBIC-EM/CNPq;15;9;14;5;3;2;7;8;7
PIVIC/IFTM;44;66;26;12;1;26;10;5;33
