CMD_MIL_AREA,UF,MUNICIPIO,ENTIDADE,CURSO,LOCAL,INICIO,TERMINO,CARGA_HORARIA,EFETIVO_INICIAL,EFETIVO_FINAL,VALOR_HORA_AULA,VALOR_TOTAL
CMA,AM,Manaus,CETAM,Instalações hidráulico,Prefeitura Militar/12ª RM,9/10/2017,9/11/2017,160,25,22,"R$ 2,96","R$ 10.419,20"
CMA,AM,Manaus,CETAM,Eletricidade de baixa tensão,Prefeitura Militar/12ª RM,24/7/2017,14/9/2017,160,49,49,"R$ 2,96","R$ 23.206,40"
CMA,AM,Manaus,CETAM,Vigilante Armado,Cmdo CMA,18/12/2017,18/1/2017,200,26,26,"R$ 4,63","R$ 24.076,00"
CMA,AM,Manaus,CETAM,Montador e reparador de computadores,4º CTA,26/6/2017,27/7/2017,160,25,25,"R$ 3,00","R$ 12.000,00"
CMA,AM,Manaus,CETAM,Instalador e reparador de redes,4º CTA,22/5/2017,23/6/2017,160,25,25,"R$ 3,00","R$ 12.000,00"
CMA,AM,Manaus,CETAM,Inst. e rep. de ar condicionado,CECMA,21/8/2017,28/9/2017,160,31,31,"R$ 2,50","R$ 12.400,00"
CMA,RO,Porto Velho,SENAI,Eletricista Instalador residencial,Cia C 17ª Bda Inf Sl,23/10/2017,4/12/2017,180,25,25,"R$ 4,10","R$ 18.450,00"
CML,ES,Vila Velha,SEST/SENAT,Mecânica Diesel,"Rodovia Governador José Sette, s/nº, Km 0,5,",7/8/2017,1/9/2017,160,20,20,"R$ 5,00","R$ 16.000,00"
CML,ES,Vila Velha,SEST/SENAT,Operador de empilhadeira,"Rodovia Governador José Sette, s/nº, Km 0,5,",9/10/2017,3/11/2017,160,20,20,"R$ 5,00","R$ 16.000,00"
CML,RJ,Petrópolis,SEST/SENAT,Curso de Condutor de Veículos de Emergência,"Sest Senat, Três Rios - Trevo Moura Brasil -",2/10/2017,4/12/2017,50,2,2,"R$ 4,20","R$ 420,00"
CML,RJ,Rio de Janeiro,SENAI,Serralheiro de ferro,Nova iguaçu,23/10/2017,20/7/2018,534,3,3,"R$ 4,26","R$ 6.824,52"
CML,RJ,Rio de Janeiro,SENAI - Nova Iguaçu,Mecânica de Refrigeração domiciliar,Jacaré Paguá,10/9/2017,24/11/2017,120,10,10,"R$ 5,95","R$ 7.140,00"
CML,RJ,Rio de Janeiro,SENAI - Nova Iguaçu,Eletricista Instalador predial de baixa tensã,Nova Iguaçu,25/9/2017,15/12/2017,200,5,5,"R$ 4,50","R$ 4.500,00"
CML,RJ,Rio de Janeiro,SENAI Freguesia,Instalador e reprador de fibras óticas,Freguesia,2/10/2017,30/11/2017,160,2,2,"R$ 4,10","R$ 1.312,00"
CML,RJ,Rio de Janeiro,Senai Caxias,Alimentador de Linha de Produção,Duque de Caxias,16/10/2017,15/12/2017,160,4,4,"R$ 3,80","R$ 2.432,00"
CML,RJ,Rio de Janeiro,SENAI - Vicente de Carvalho,Pedreiro de Alvenaria Estrutural,"Av. Pastor Martin Luther King Junior, 6475 -",2/10/2017,4/12/2017,200,20,20,"R$ 5,85","R$ 23.400,00"
CML,RJ,Rio de Janeiro,SEST/SENAT,MOPP,"Estrada do Camboatá, 135, Deodoro - RJ, CEP 2",2/10/2017,4/12/2017,50,20,20,"R$ 4,50","R$ 4.500,00"
CML,RJ,Rio de Janeiro,SEST/SENAT,Emergência,"Estrada do Camboatá, 135, Deodoro - RJ, CEP 2",2/10/2017,4/12/2017,50,20,20,"R$ 4,50","R$ 4.500,00"
CML,RJ,Rio de Janeiro,SEST/SENAT,Coletivo,"Estrada do Camboatá, 135, Deodoro - RJ, CEP 2",2/10/2017,4/12/2017,50,20,20,"R$ 4,50","R$ 4.500,00"
CML,RJ,Rio de Janeiro,SENAI - SANTA CRUZ / RJ,ELETRICIDADE,"Av. Pastor Martin Luther King Junior, 6475 -",2/10/2017,4/12/2017,120,20,17,"R$ 4,70","R$ 9.588,00"
CML,RJ,Niterói,Policlínica Militar de Niterói,Auxiliar em Saúde Bucal,Policlínica Militar de Niterói,4/7/2017,15/12/2017,900,11,10,"R$ 0,81","R$ 7.290,00"
CML,RJ,Niterói,Policlínica Militar de Niterói,Auxiliar em Saúde Bucal,"Praça dos Expedicionários 25, Centro - Niteró",4/12/2017,14/12/2018,180,20,20,"R$ 0,15","R$ 540,00"
CML,RJ,Rio de Janeiro,SEST/SENAT,Condutor de veículo e transporte de cargas pe,Deodoro,13/11/2017,17/11/2017,50,2,2,"R$ 6,00","R$ 600,00"
CML,RJ,Rio de Janeiro,SEST/SENAT,Curso de Condutor de Veículos de Emergência,Deodoro,23/11/2017,30/11/2017,50,2,2,"R$ 6,00","R$ 600,00"
CML,RJ,Rio de Janeiro,SENAI - Nova Iguaçu,Planejamento e controle de produção,"Av. Calógeras, 15",30/10/2017,27/11/2017,72,2,2,"R$ 6,00","R$ 864,00"
CML,RJ,Rio de Janeiro,SENAI Jacarepaguá,Manutenção de ar condicionado Automotivo,"Av. Geremário Dantas, 940",27/11/2017,11/12/2017,40,1,1,"R$ 10,32","R$ 412,80"
CML,RJ,Rio de Janeiro,HGeRJ,Auxiliar de Saúde Bucal,Hospital Geral do Rio de Janeiro,16/10/2017,19/3/2018,600,12,12,"R$ 0,35","R$ 2.520,00"
CMN,AP,Macapá,SENAI - AP,SALGADEIRO,"Av. Padre Júlio Maria Lombaerd, 2026, Bairro",1/9/2017,1/11/2017,160,8,8,"R$ 2,75","R$ 3.520,00"
CMN,AP,Macapá,SENAI - AP,ELETRICISTA INSTALADOR RESIDENCIAL,"Av. Padre Júlio Maria Lombaerd, 2026, Bairro",1/9/2017,1/11/2017,160,8,8,"R$ 3,23","R$ 4.134,40"
